,start_times,end_times,det_probs
0,0.0445,0.0524,0.103
1,0.0545,0.0636,0.105
2,0.1405,0.1474,0.058
3,0.1415,0.1553,0.11
4,0.1525,0.1679,0.059
5,0.1985,0.2457,0.07
6,0.2015,0.2121,0.088
7,0.2065,0.219,0.129
8,0.2115,0.2171,0.086
9,0.2885,0.2955,0.058
10,0.2885,0.2945,0.056
11,0.3075,0.3257,0.11
12,0.3475,0.3538,0.096
13,0.3575,0.3658,0.061
14,0.3585,0.3646,0.072
15,0.3725,0.4169,0.066
16,0.3905,0.4308,0.093
17,0.3925,0.4085,0.225
18,0.3925,0.4074,0.102
19,0.3955,0.4084,0.085
20,0.3985,0.4386,0.057
21,0.4035,0.4095,0.056
22,0.4075,0.4191,0.185
23,0.4085,0.4435,0.112
24,0.4095,0.42,0.063
25,0.4245,0.4318,0.068
26,0.4415,0.4465,0.084
27,0.4555,0.4958,0.069
28,0.4575,0.4753,0.178
29,0.4655,0.5072,0.074
30,0.4745,0.4857,0.085
31,0.4775,0.487,0.063
32,0.5165,0.522,0.06
33,0.5185,0.5542,0.055
34,0.5205,0.5326,0.071
35,0.5205,0.5286,0.151
36,0.5245,0.5606,0.056
37,0.5485,0.556,0.062
38,0.6185,0.661,0.083
39,0.6255,0.6476,0.171
40,0.6265,0.6641,0.064
41,0.6265,0.6372,0.13
42,0.6605,0.6781,0.072
43,0.6705,0.6794,0.087
44,0.6705,0.6843,0.083
45,0.7935,0.814,0.059
46,0.8055,0.8208,0.123
47,0.8065,0.8473,0.064
48,0.8085,0.8182,0.078
49,0.8265,0.8376,0.069
50,0.8275,0.8346,0.055
51,0.8585,0.8645,0.071
52,0.8805,0.8953,0.235
53,0.8815,0.8939,0.135
54,0.8815,0.9222,0.138
55,0.8815,0.8983,0.123
56,0.8995,0.9128,0.146
57,0.9015,0.9309,0.127
58,0.9025,0.9119,0.089
59,0.9165,0.9231,0.098
60,0.9185,0.9525,0.067
61,0.9495,0.9542,0.06
62,0.9645,0.9831,0.219
63,0.9645,0.9742,0.275
64,1.0325,1.0435,0.164
65,1.0345,1.044,0.079
66,1.0405,1.0494,0.061
67,1.1135,1.1219,0.06
68,1.1675,1.214,0.082
69,1.1675,1.1841,0.067
70,1.1695,1.1798,0.124
71,1.2065,1.2119,0.067
72,1.2085,1.2194,0.072
73,1.2095,1.2493,0.069
74,1.2145,1.2238,0.055
75,1.2145,1.2251,0.06
76,1.2385,1.2461,0.061
77,1.2745,1.2841,0.151
78,1.2745,1.2787,0.079
79,1.2865,1.3043,0.13
80,1.3075,1.3471,0.058
81,1.3085,1.3172,0.057
82,1.3155,1.3261,0.115
83,1.3275,1.3416,0.174
84,1.3325,1.343,0.257
85,1.3335,1.3455,0.076
86,1.3425,1.354,0.07
87,1.3445,1.3808,0.125
88,1.3465,1.3577,0.09
89,1.3635,1.373,0.07
90,1.3645,1.3778,0.072
91,1.4025,1.4083,0.077
92,1.4395,1.4857,0.083
93,1.4405,1.453,0.165
94,1.4405,1.4556,0.323
95,1.4405,1.4529,0.145
96,1.4415,1.4576,0.067
97,1.4425,1.4906,0.059
98,1.4425,1.465,0.209
99,1.4475,1.4834,0.088
100,1.4495,1.4618,0.058
101,1.4545,1.4683,0.14
102,1.4565,1.4747,0.056
103,1.4565,1.464,0.1
104,1.4575,1.4935,0.156
105,1.4585,1.4694,0.148
106,1.4635,1.4763,0.127
107,1.4715,1.5004,0.098
108,1.4715,1.4794,0.133
109,1.4715,1.4818,0.115
110,1.4735,1.4825,0.238
111,1.4745,1.4824,0.095
112,1.4895,1.5147,0.069
113,1.5185,1.5244,0.098
114,1.5185,1.5267,0.072
115,1.5205,1.556,0.104
116,1.5625,1.5674,0.082
117,1.6125,1.6324,0.186
118,1.6135,1.6503,0.08
119,1.6135,1.6536,0.081
120,1.6365,1.65,0.128
121,1.6375,1.6529,0.149
122,1.6385,1.6746,0.115
123,1.6555,1.6625,0.082
124,1.6695,1.6832,0.119
125,1.6705,1.6873,0.116
126,1.6715,1.7096,0.062
127,1.6865,1.6926,0.056
128,1.6955,1.7021,0.082
129,1.7055,1.7152,0.08
130,1.7835,1.7899,0.068
131,1.8265,1.8366,0.073
132,1.8395,1.8446,0.059
133,1.8575,1.8625,0.078
134,1.8775,1.8908,0.09
135,1.8835,1.9223,0.06
136,1.9045,1.9156,0.104
137,1.9055,1.9205,0.191
138,1.9065,1.9493,0.059
139,2.0105,2.0173,0.066
140,2.0575,2.0686,0.304
141,2.0585,2.0676,0.137
142,2.0595,2.1012,0.142
143,2.0605,2.0708,0.189
144,2.0765,2.0945,0.076
145,2.0845,2.1011,0.093
146,2.0855,2.1274,0.138
147,2.0855,2.0972,0.07
148,2.0865,2.1246,0.07
149,2.1055,2.1154,0.063
150,2.1055,2.1132,0.077
151,2.1435,2.1828,0.062
152,2.1445,2.1664,0.057
153,2.1475,2.1613,0.181
154,2.1535,2.1876,0.134
155,2.1535,2.1756,0.178
156,2.1565,2.196,0.06
157,2.1655,2.1982,0.157
158,2.1685,2.1821,0.139
159,2.1765,2.1847,0.063
160,2.1775,2.183,0.071
161,2.1775,2.1823,0.067
162,2.1925,2.2006,0.07
163,2.2195,2.2303,0.073
164,2.2405,2.2472,0.059
165,2.2765,2.2913,0.08
166,2.2865,2.3039,0.125
167,2.2885,2.3309,0.085
168,2.2895,2.3022,0.073
169,2.3015,2.3459,0.066
170,2.3085,2.3196,0.086
171,2.3665,2.4024,0.065
172,2.3685,2.3806,0.181
173,2.3695,2.3896,0.058
174,2.3735,2.4036,0.078
175,2.3735,2.4138,0.075
176,2.3855,2.3934,0.061
177,2.3965,2.407,0.062
178,2.4295,2.44,0.084
179,2.4325,2.4788,0.071
180,2.4375,2.445,0.073
181,2.4435,2.4536,0.062
182,2.4675,2.5119,0.054
183,2.4725,2.49,0.122
184,2.4765,2.4883,0.098
185,2.4995,2.5081,0.093
186,2.5185,2.5577,0.065
187,2.5205,2.5332,0.264
188,2.5235,2.538,0.084
189,2.5235,2.5364,0.059
190,2.5245,2.5311,0.114
191,2.5255,2.5394,0.06
192,2.5335,2.543,0.082
193,2.5375,2.5441,0.081
194,2.5405,2.5781,0.057
195,2.5435,2.5804,0.057
196,2.5435,2.5513,0.092
197,2.5635,2.5713,0.153
198,2.5695,2.5825,0.164
199,2.5825,2.5898,0.079
200,2.5835,2.6245,0.057
201,2.6095,2.6172,0.061
202,2.6205,2.6283,0.061
203,2.6225,2.6359,0.071
204,2.6405,2.6474,0.065
205,2.6765,2.7173,0.061
206,2.6785,2.6872,0.102
207,2.6785,2.686,0.095
208,2.6785,2.7219,0.136
209,2.6825,2.6954,0.104
210,2.6905,2.7278,0.075
211,2.6925,2.7004,0.111
212,2.6925,2.7038,0.062
213,2.7215,2.7323,0.101
214,2.7225,2.7297,0.192
215,2.7235,2.762,0.068
216,2.7725,2.7789,0.085
217,2.8135,2.8609,0.169
218,2.8145,2.8304,0.12
219,2.8165,2.8335,0.183
220,2.8305,2.8592,0.059
221,2.8455,2.8618,0.139
222,2.8615,2.8742,0.073
223,2.8615,2.8696,0.105
224,2.8685,2.8769,0.073
225,2.9075,2.9222,0.277
226,2.9075,2.9188,0.078
227,2.9225,2.9349,0.168
228,2.9225,2.9364,0.254
229,2.9235,2.9653,0.114
230,2.9505,2.9674,0.063
231,2.9695,2.984,0.074
232,2.9815,2.9915,0.069
233,2.9885,3.0039,0.128
234,2.9885,3.0003,0.083
235,3.0485,3.0605,0.111
236,3.0495,3.0592,0.105
237,3.0495,3.0949,0.057
238,3.0605,3.067,0.065
239,3.0875,3.0965,0.056
240,3.0945,3.1323,0.059
241,3.1165,3.1386,0.102
242,3.1175,3.1273,0.107
243,3.1265,3.1384,0.058
244,3.1795,3.1941,0.172
245,3.1865,3.1944,0.066
246,3.1885,3.2273,0.061
247,3.2085,3.2216,0.095
248,3.2185,3.234,0.055
249,3.2235,3.2609,0.064
250,3.2335,3.2389,0.076
251,3.2365,3.2419,0.078
252,3.2545,3.2675,0.167
253,3.2585,3.2961,0.065
254,3.2665,3.2714,0.09
255,3.3105,3.3541,0.078
256,3.3105,3.3205,0.067
257,3.3115,3.3184,0.076
258,3.3385,3.3457,0.127
259,3.3405,3.3485,0.086
260,3.3945,3.4308,0.148
261,3.4005,3.4144,0.213
262,3.4005,3.4234,0.129
263,3.4025,3.4116,0.125
264,3.4065,3.4166,0.065
265,3.4115,3.4232,0.082
266,3.4125,3.4203,0.127
267,3.4145,3.4238,0.093
268,3.4285,3.4703,0.07
269,3.4355,3.4484,0.059
270,3.4495,3.4681,0.074
271,3.4605,3.4996,0.065
272,3.4615,3.4741,0.12
273,3.5375,3.5465,0.093
274,3.5475,3.5563,0.078
275,3.5555,3.5984,0.11
276,3.5555,3.5691,0.129
277,3.5575,3.5695,0.257
278,3.5585,3.565,0.054
279,3.5615,3.5721,0.058
280,3.6085,3.6153,0.058
281,3.6265,3.674,0.064
282,3.6295,3.6438,0.07
283,3.6355,3.647,0.174
284,3.6445,3.6568,0.156
285,3.6465,3.6551,0.066
286,3.6495,3.6578,0.15
