,start_times,end_times,det_probs
0,0.0015,0.0198,0.093
1,0.0025,0.0146,0.036
2,0.0025,0.0452,0.063
3,0.0035,0.0189,0.135
4,0.0095,0.025,0.124
5,0.0115,0.0479,0.034
6,0.0195,0.0306,0.081
7,0.0205,0.0329,0.11
8,0.0205,0.039,0.033
9,0.0215,0.0591,0.085
10,0.0245,0.0669,0.049
11,0.0265,0.0619,0.084
12,0.0305,0.0443,0.118
13,0.0355,0.0439,0.038
14,0.0355,0.0473,0.038
15,0.0475,0.0932,0.166
16,0.0505,0.066,0.105
17,0.0505,0.067,0.072
18,0.0505,0.0646,0.135
19,0.0505,0.0919,0.042
20,0.0635,0.0749,0.035
21,0.0695,0.0779,0.084
22,0.0715,0.0872,0.055
23,0.0725,0.0978,0.354
24,0.0875,0.0954,0.034
25,0.0925,0.1334,0.056
26,0.0965,0.1134,0.039
27,0.1015,0.1104,0.037
28,0.1045,0.1157,0.05
29,0.1165,0.1497,0.034
30,0.1325,0.1771,0.129
31,0.1345,0.1407,0.037
32,0.1345,0.1408,0.046
33,0.1355,0.1772,0.083
34,0.1365,0.1533,0.097
35,0.1405,0.1646,0.087
36,0.1575,0.1861,0.311
37,0.1615,0.1859,0.182
38,0.1645,0.182,0.249
39,0.1655,0.2074,0.074
40,0.1665,0.1747,0.037
41,0.1675,0.2053,0.071
42,0.1755,0.1899,0.057
43,0.1875,0.2064,0.142
44,0.1885,0.2216,0.158
45,0.1885,0.2054,0.132
46,0.1935,0.2009,0.047
47,0.1935,0.2337,0.037
48,0.2085,0.2396,0.043
49,0.2105,0.2271,0.423
50,0.2115,0.2508,0.075
51,0.2125,0.2256,0.13
52,0.2145,0.2478,0.041
53,0.2145,0.2279,0.192
54,0.2155,0.2362,0.2
55,0.2185,0.2324,0.086
56,0.2365,0.2667,0.05
57,0.2375,0.2438,0.041
58,0.2575,0.2684,0.075
59,0.2575,0.2697,0.063
60,0.2585,0.2678,0.041
61,0.2595,0.2978,0.049
62,0.2735,0.288,0.05
63,0.2735,0.2866,0.072
64,0.2745,0.2873,0.122
65,0.2745,0.2875,0.038
66,0.2755,0.321,0.043
67,0.2765,0.3248,0.041
68,0.2835,0.2944,0.041
69,0.2835,0.327,0.042
70,0.2875,0.3,0.051
71,0.2905,0.3363,0.05
72,0.2915,0.3363,0.043
73,0.2965,0.3088,0.068
74,0.2975,0.3069,0.047
75,0.2975,0.307,0.037
76,0.3075,0.3485,0.05
77,0.3085,0.355,0.141
78,0.3105,0.3261,0.056
79,0.3115,0.3238,0.217
80,0.3125,0.3224,0.054
81,0.3295,0.3532,0.236
82,0.3305,0.3397,0.07
83,0.3465,0.3791,0.152
84,0.3465,0.3654,0.053
85,0.3485,0.3634,0.234
86,0.3495,0.3911,0.041
87,0.3755,0.4122,0.039
88,0.3795,0.3887,0.037
89,0.3875,0.3937,0.054
90,0.4335,0.4719,0.037
91,0.4555,0.4627,0.045
92,0.4685,0.5034,0.034
93,0.4715,0.4798,0.044
94,0.5305,0.5637,0.041
95,0.5555,0.5665,0.047
96,0.5775,0.5831,0.089
97,0.5785,0.5848,0.038
98,0.5785,0.5849,0.061
99,0.5805,0.6204,0.033
100,0.6095,0.6164,0.051
101,0.6405,0.6492,0.033
102,0.6575,0.6694,0.051
103,0.7025,0.7115,0.038
104,0.7215,0.733,0.036
105,0.7235,0.7308,0.036
106,0.7265,0.7611,0.036
107,0.7925,0.8007,0.033
108,0.8175,0.8541,0.034
109,0.8235,0.8317,0.035
110,0.8565,0.8638,0.034
111,0.8835,0.9154,0.037
112,0.9095,0.9218,0.038
113,0.9195,0.9309,0.034
114,0.9355,0.9772,0.044
115,0.9445,0.9554,0.062
116,0.9475,0.9557,0.064
117,0.9505,0.9896,0.037
118,0.9805,0.9934,0.097
119,0.9875,1.0261,0.034
120,1.0035,1.0156,0.045
121,1.0175,1.029,0.092
122,1.0195,1.0607,0.033
123,1.0405,1.0483,0.036
124,1.0635,1.0959,0.033
125,1.0635,1.1087,0.041
126,1.0705,1.0776,0.042
127,1.0995,1.1436,0.066
128,1.1015,1.1173,0.299
129,1.1065,1.1229,0.1
130,1.1065,1.1115,0.068
131,1.1065,1.1363,0.218
132,1.1075,1.141,0.061
133,1.1085,1.1298,0.273
134,1.1095,1.1259,0.079
135,1.1135,1.1432,0.056
136,1.1165,1.1297,0.197
137,1.1185,1.1373,0.069
138,1.1185,1.1318,0.12
139,1.1195,1.1348,0.062
140,1.1195,1.1294,0.064
141,1.1375,1.1725,0.056
142,1.1625,1.1998,0.06
143,1.1625,1.1699,0.044
144,1.1635,1.171,0.04
145,1.1815,1.2136,0.039
