,start_times,end_times,det_probs
0,0.0015,0.016,0.039
1,0.0015,0.0313,0.095
2,0.0015,0.0314,0.083
3,0.0015,0.0121,0.105
4,0.0055,0.0163,0.061
5,0.0065,0.0171,0.04
6,0.0075,0.0171,0.117
7,0.0315,0.0459,0.085
8,0.0535,0.0684,0.037
9,0.0665,0.0884,0.088
10,0.0665,0.0856,0.186
11,0.0665,0.0992,0.118
12,0.0675,0.107,0.067
13,0.1195,0.1291,0.037
14,0.1725,0.1785,0.078
15,0.1845,0.2245,0.037
16,0.2275,0.2343,0.036
17,0.2315,0.239,0.048
18,0.2395,0.2492,0.068
19,0.2425,0.25,0.068
20,0.2445,0.2816,0.064
21,0.3135,0.3212,0.04
22,0.3585,0.3688,0.041
23,0.3615,0.3677,0.037
24,0.3655,0.3957,0.044
25,0.3805,0.3874,0.037
26,0.3885,0.4288,0.048
27,0.3985,0.4098,0.074
28,0.3995,0.4067,0.046
29,0.4375,0.4849,0.073
30,0.4385,0.4613,0.215
31,0.4395,0.4539,0.357
32,0.4485,0.4639,0.069
33,0.4495,0.4604,0.063
34,0.4935,0.5099,0.255
35,0.4935,0.5406,0.064
36,0.4955,0.5049,0.261
37,0.5315,0.5694,0.045
38,0.5315,0.5667,0.044
39,0.5715,0.5873,0.132
40,0.5725,0.5943,0.217
41,0.5725,0.6191,0.218
42,0.5725,0.6207,0.052
43,0.5725,0.5941,0.2
44,0.5735,0.6025,0.086
45,0.5875,0.6133,0.063
46,0.5875,0.6,0.117
47,0.5875,0.6015,0.101
48,0.5885,0.6153,0.103
49,0.5895,0.6019,0.059
50,0.5915,0.606,0.117
51,0.5945,0.6079,0.083
52,0.5955,0.6105,0.07
53,0.5995,0.6124,0.102
54,0.6005,0.614,0.088
55,0.6005,0.608,0.076
56,0.6015,0.632,0.113
57,0.6075,0.64,0.125
58,0.6095,0.6162,0.147
59,0.6105,0.648,0.043
60,0.6125,0.6178,0.042
61,0.6125,0.6218,0.09
62,0.6125,0.6249,0.197
63,0.6225,0.6356,0.061
64,0.6235,0.6568,0.041
65,0.6345,0.6741,0.064
66,0.6395,0.6479,0.037
67,0.6395,0.6485,0.079
68,0.6515,0.6624,0.06
69,0.6735,0.6864,0.05
70,0.6885,0.7055,0.121
71,0.6895,0.7341,0.045
72,0.6925,0.7036,0.075
73,0.7045,0.7138,0.037
74,0.7335,0.771,0.057
75,0.7375,0.7505,0.081
76,0.7375,0.7745,0.102
77,0.7385,0.7557,0.061
78,0.7385,0.7535,0.08
79,0.7385,0.7553,0.104
80,0.7405,0.7644,0.165
81,0.7495,0.7607,0.069
82,0.7505,0.7615,0.097
83,0.7535,0.7638,0.115
84,0.7555,0.7699,0.153
85,0.7565,0.7696,0.121
86,0.7575,0.7919,0.065
87,0.7595,0.7661,0.053
88,0.7605,0.7715,0.069
89,0.7605,0.7719,0.158
90,0.7635,0.7877,0.071
91,0.7715,0.7822,0.078
92,0.7715,0.7777,0.04
93,0.7725,0.7911,0.08
94,0.7975,0.8069,0.041
95,0.8015,0.8142,0.041
96,0.8015,0.8379,0.056
97,0.8055,0.8139,0.036
98,0.8265,0.8328,0.037
99,0.8275,0.8414,0.072
100,0.8385,0.8806,0.038
101,0.8525,0.8948,0.036
102,0.8585,0.9019,0.036
103,0.8585,0.8711,0.059
104,0.9175,0.9595,0.052
105,0.9265,0.934,0.048
106,0.9765,1.0157,0.04
107,1.0645,1.0707,0.079
108,1.0655,1.0721,0.041
109,1.1015,1.1108,0.036
110,1.1015,1.1089,0.04
111,1.1215,1.1284,0.038
112,1.1405,1.1466,0.043
113,1.1415,1.1742,0.047
114,1.1415,1.1712,0.079
115,1.1625,1.1701,0.048
116,1.1905,1.235,0.047
117,1.2305,1.2708,0.042
118,1.2635,1.271,0.049
119,1.2635,1.3018,0.04
120,1.2645,1.2708,0.044
121,1.2655,1.2717,0.039
122,1.3125,1.3299,0.062
123,1.3145,1.3571,0.136
124,1.3185,1.338,0.119
125,1.3205,1.3626,0.04
126,1.3215,1.3445,0.04
127,1.3255,1.3631,0.192
128,1.3275,1.3415,0.142
129,1.3275,1.3374,0.041
130,1.3295,1.3509,0.079
131,1.3305,1.3617,0.207
132,1.3305,1.3686,0.046
133,1.3365,1.3531,0.097
134,1.3605,1.3763,0.165
135,1.3685,1.3838,0.121
136,1.3695,1.4116,0.058
137,1.3715,1.4082,0.053
138,1.3755,1.3841,0.07
139,1.3755,1.3812,0.041
140,1.3835,1.3911,0.036
141,1.3865,1.398,0.038
142,1.4205,1.4595,0.04
143,1.4595,1.472,0.076
144,1.4595,1.4734,0.091
145,1.4815,1.5285,0.222
146,1.4835,1.4971,0.167
147,1.4835,1.5011,0.301
148,1.4835,1.5002,0.129
149,1.4835,1.491,0.042
150,1.4835,1.5219,0.075
151,1.4875,1.5138,0.199
152,1.4965,1.5046,0.044
153,1.5095,1.5261,0.214
154,1.5115,1.5236,0.104
155,1.5135,1.5228,0.048
156,1.5145,1.5582,0.075
157,1.5195,1.5605,0.075
158,1.5215,1.5362,0.045
159,1.5235,1.5313,0.041
160,1.5345,1.5769,0.089
161,1.5365,1.549,0.169
162,1.5375,1.5479,0.129
163,1.6445,1.6528,0.045
164,1.6535,1.6645,0.054
165,1.7385,1.7808,0.128
166,1.7385,1.7507,0.14
167,1.7385,1.7583,0.238
168,1.7395,1.7878,0.059
169,1.7395,1.7529,0.374
170,1.7405,1.7644,0.214
171,1.7485,1.7629,0.065
172,1.7535,1.77,0.124
173,1.7535,1.7684,0.049
174,1.7545,1.7692,0.104
175,1.7605,1.7759,0.135
176,1.7605,1.7809,0.074
177,1.7625,1.7998,0.145
178,1.7675,1.7807,0.077
179,1.7715,1.7807,0.092
180,1.7725,1.7778,0.093
181,1.7725,1.784,0.041
182,1.7835,1.7918,0.036
183,1.7845,1.7934,0.071
184,1.7865,1.8233,0.05
185,1.7915,1.8032,0.19
186,1.7925,1.829,0.046
187,1.7945,1.8043,0.059
188,1.7945,1.8053,0.043
189,1.8195,1.8556,0.036
190,1.8195,1.8269,0.039
191,1.8445,1.8537,0.055
192,1.8455,1.852,0.079
193,1.8465,1.8864,0.039
194,1.8475,1.8811,0.036
195,1.8795,1.8865,0.05
196,1.9115,1.9232,0.081
197,1.9435,1.9772,0.044
198,1.9475,1.9878,0.061
199,1.9825,1.9903,0.037
200,2.0055,2.0425,0.04
201,2.0245,2.0319,0.036
202,2.0535,2.0949,0.04
203,2.0665,2.076,0.042
204,2.0735,2.1118,0.036
205,2.1145,2.1578,0.175
206,2.1145,2.1271,0.239
207,2.1155,2.1277,0.107
208,2.1155,2.1402,0.141
209,2.1155,2.1596,0.058
210,2.1165,2.127,0.31
211,2.1345,2.1442,0.104
212,2.1365,2.1506,0.058
213,2.1375,2.1761,0.043
214,2.1395,2.1538,0.091
215,2.1445,2.1571,0.125
216,2.1455,2.1849,0.057
217,2.1485,2.1782,0.153
218,2.1495,2.1619,0.089
219,2.1555,2.1665,0.098
220,2.1695,2.187,0.056
221,2.1715,2.1829,0.129
222,2.1735,2.2091,0.044
223,2.2005,2.2216,0.09
224,2.2015,2.2137,0.089
225,2.2045,2.2401,0.048
226,2.2045,2.2362,0.037
227,2.2125,2.2214,0.049
228,2.2515,2.2616,0.055
229,2.2985,2.3085,0.039
230,2.3095,2.3188,0.038
231,2.3435,2.3523,0.036
232,2.4125,2.4484,0.037
233,2.4345,2.4433,0.038
234,2.4735,2.5158,0.152
235,2.4735,2.4899,0.375
236,2.4735,2.5204,0.053
237,2.4735,2.4872,0.228
238,2.4745,2.4856,0.226
239,2.4745,2.5001,0.174
240,2.4745,2.4911,0.1
241,2.4855,2.5016,0.115
242,2.4875,2.5017,0.098
243,2.4885,2.5165,0.067
244,2.4895,2.5034,0.122
245,2.4925,2.5039,0.082
246,2.4925,2.5082,0.051
247,2.4965,2.5069,0.21
248,2.4975,2.5088,0.15
249,2.5025,2.5325,0.064
250,2.5045,2.5125,0.061
251,2.5125,2.524,0.105
252,2.5125,2.5205,0.139
253,2.5135,2.5242,0.136
254,2.5145,2.5491,0.044
255,2.5145,2.5416,0.047
256,2.5365,2.5505,0.042
257,2.5365,2.547,0.043
258,2.5735,2.5856,0.284
259,2.5735,2.5799,0.04
260,2.5745,2.6076,0.037
261,2.6045,2.6136,0.04
262,2.6125,2.6176,0.085
263,2.6135,2.6474,0.038
264,2.6135,2.6499,0.056
265,2.6405,2.6477,0.038
266,2.6615,2.6995,0.042
267,2.7095,2.7431,0.037
268,2.7305,2.7384,0.043
269,2.7525,2.7602,0.042
270,2.7645,2.8025,0.043
271,2.7825,2.792,0.064
272,2.7975,2.8057,0.04
273,2.8835,2.8908,0.062
274,2.9005,2.9138,0.2
275,2.9035,2.9125,0.226
276,2.9045,2.947,0.068
277,2.9195,2.9552,0.036
278,2.9285,2.9342,0.068
279,2.9305,2.9367,0.082
280,2.9665,3.0077,0.038
281,2.9885,3.0315,0.041
282,3.0205,3.03,0.084
283,3.0315,3.0491,0.307
284,3.0325,3.0717,0.285
285,3.0325,3.0476,0.089
286,3.0335,3.0541,0.149
287,3.0335,3.0425,0.036
288,3.0375,3.0557,0.075
289,3.0465,3.0662,0.08
290,3.0565,3.0882,0.037
291,3.1155,3.1575,0.075
292,3.1195,3.1621,0.069
293,3.1195,3.1365,0.23
294,3.1215,3.1435,0.154
295,3.1265,3.1534,0.124
296,3.1395,3.1754,0.042
297,3.1415,3.158,0.079
298,3.1435,3.1601,0.063
299,3.1485,3.1615,0.047
300,3.1505,3.1666,0.211
301,3.1525,3.1908,0.052
302,3.1545,3.193,0.102
303,3.1545,3.1664,0.086
304,3.1575,3.1737,0.04
305,3.1635,3.1737,0.062
306,3.1655,3.1809,0.055
307,3.1735,3.1824,0.053
308,3.1805,3.1924,0.046
309,3.1835,3.1923,0.051
310,3.1835,3.2164,0.039
311,3.1845,3.19,0.036
312,3.2455,3.2614,0.077
313,3.2485,3.2619,0.109
314,3.2535,3.2925,0.121
315,3.2535,3.2686,0.087
316,3.2575,3.2682,0.042
317,3.2585,3.2939,0.038
318,3.2915,3.2998,0.037
319,3.3045,3.3178,0.07
320,3.3075,3.3254,0.059
321,3.3085,3.3469,0.04
322,3.3245,3.3617,0.036
323,3.3495,3.3965,0.234
324,3.3505,3.3689,0.33
325,3.3515,3.3935,0.062
326,3.3515,3.3672,0.298
327,3.3525,3.3639,0.158
328,3.3535,3.3755,0.2
329,3.3605,3.368,0.054
330,3.3625,3.3769,0.134
331,3.3655,3.3787,0.149
332,3.3665,3.377,0.121
333,3.3685,3.3979,0.102
334,3.3695,3.3844,0.072
335,3.3725,3.3829,0.105
336,3.3735,3.3842,0.113
337,3.3795,3.4085,0.096
338,3.3815,3.4173,0.067
339,3.3855,3.3944,0.101
340,3.3875,3.3959,0.114
341,3.3885,3.4008,0.15
342,3.4155,3.43,0.043
343,3.4275,3.4763,0.138
344,3.4275,3.4405,0.324
345,3.4275,3.4414,0.504
346,3.4285,3.4383,0.301
347,3.4285,3.4696,0.143
348,3.4305,3.4535,0.266
349,3.4425,3.4521,0.089
350,3.4445,3.4529,0.094
351,3.4515,3.462,0.097
352,3.4515,3.4629,0.145
353,3.4545,3.4722,0.191
354,3.4555,3.4921,0.041
355,3.4565,3.4699,0.125
356,3.4575,3.4985,0.073
357,3.4645,3.4737,0.077
358,3.4655,3.483,0.037
359,3.4655,3.4749,0.056
360,3.4715,3.4815,0.053
361,3.4805,3.4966,0.11
362,3.4805,3.5265,0.131
363,3.4835,3.4957,0.161
364,3.4865,3.4972,0.05
365,3.5265,3.5359,0.048
366,3.5425,3.5532,0.063
367,3.5615,3.5716,0.062
368,3.5715,3.5789,0.043
369,3.5715,3.6095,0.038
370,3.6335,3.6739,0.04
371,3.6485,3.6614,0.078
372,3.6495,3.6947,0.043
373,3.6495,3.6566,0.048
374,3.6575,3.7004,0.046
375,3.6575,3.6639,0.047
376,3.6585,3.6652,0.058
377,3.6855,3.694,0.038
378,3.6935,3.7344,0.04
379,3.6975,3.7046,0.041
380,3.7205,3.73,0.052
381,3.7345,3.7737,0.058
382,3.7765,3.7894,0.053
383,3.7835,3.8021,0.162
384,3.7905,3.8281,0.228
385,3.7915,3.8102,0.104
386,3.7935,3.8131,0.078
387,3.8155,3.8276,0.112
388,3.8175,3.8281,0.05
389,3.8175,3.8307,0.095
390,3.8185,3.8598,0.063
391,3.8195,3.8584,0.038
392,3.8345,3.852,0.075
393,3.8535,3.8607,0.036
394,3.8605,3.9012,0.038
395,3.8825,3.8905,0.048
396,3.9005,3.9435,0.036
397,3.9545,3.9899,0.036
398,3.9565,3.963,0.036
399,3.9585,3.9651,0.049
400,3.9985,4.0095,0.133
401,4.0125,4.049,0.037
402,4.0505,4.0912,0.052
403,4.0635,4.07,0.04
404,4.1175,4.1256,0.042
405,4.1195,4.1274,0.041
406,4.1445,4.1584,0.04
407,4.1635,4.1771,0.241
408,4.1635,4.2071,0.157
409,4.1635,4.1887,0.227
410,4.1645,4.1782,0.174
411,4.1645,4.2126,0.049
412,4.1645,4.1785,0.16
413,4.1765,4.1914,0.175
414,4.1775,4.2125,0.04
415,4.1775,4.2166,0.139
416,4.1805,4.1908,0.102
417,4.1805,4.1935,0.136
418,4.1815,4.1942,0.119
419,4.1885,4.2195,0.072
420,4.1915,4.2023,0.078
421,4.2825,4.297,0.082
422,4.2845,4.3281,0.049
423,4.3115,4.3169,0.056
424,4.3125,4.3186,0.042
425,4.3485,4.3885,0.048
426,4.4415,4.4515,0.042
427,4.5595,4.5766,0.044
428,4.5855,4.5901,0.043
429,4.5865,4.5922,0.073
430,4.6535,4.6969,0.046
431,4.6595,4.7022,0.045
432,4.7225,4.7621,0.036
433,4.7355,4.7471,0.057
434,4.7425,4.7847,0.036
435,4.7665,4.7723,0.088
436,4.8475,4.8628,0.257
437,4.8535,4.8601,0.054
438,4.8645,4.9028,0.04
439,4.8875,4.8959,0.036
440,4.9025,4.94,0.039
441,4.9185,4.9617,0.037
442,4.9275,4.9706,0.036
443,4.9295,4.9382,0.039
444,4.9605,4.9715,0.079
445,4.9785,5.0032,0.102
446,4.9785,5.0224,0.139
447,4.9795,4.9929,0.146
448,4.9805,5.0221,0.053
449,4.9805,4.9987,0.21
450,4.9805,4.9942,0.132
451,4.9985,5.0134,0.186
452,5.0005,5.0158,0.099
453,5.0005,5.0316,0.062
454,5.0035,5.0137,0.067
455,5.0045,5.0168,0.047
456,5.0055,5.0159,0.045
457,5.0165,5.0563,0.106
458,5.0175,5.0279,0.102
459,5.0185,5.0584,0.062
460,5.0205,5.0318,0.122
461,5.0235,5.0346,0.094
462,5.0245,5.03,0.037
463,5.0375,5.0713,0.041
464,5.0625,5.0824,0.23
465,5.0645,5.0828,0.16
466,5.0655,5.106,0.082
467,5.0675,5.1055,0.088
468,5.0915,5.1333,0.037
469,5.1025,5.1123,0.049
470,5.1075,5.1224,0.039
471,5.1255,5.1353,0.054
472,5.1275,5.1695,0.039
473,5.1685,5.1791,0.057
474,5.2285,5.2693,0.072
475,5.2395,5.2533,0.066
476,5.2535,5.2609,0.043
477,5.2825,5.322,0.038
478,5.3155,5.3238,0.047
479,5.3185,5.3259,0.036
480,5.3565,5.3919,0.038
481,5.3595,5.4031,0.05
482,5.3605,5.3678,0.108
483,5.3605,5.3709,0.07
484,5.4135,5.454,0.07
485,5.4135,5.4486,0.038
486,5.4715,5.5146,0.037
487,5.4815,5.4933,0.187
488,5.4835,5.5218,0.042
489,5.4835,5.4916,0.313
490,5.4945,5.5309,0.041
491,5.5035,5.5093,0.042
492,5.5045,5.5105,0.071
493,5.5675,5.6061,0.102
494,5.5685,5.5831,0.162
495,5.5685,5.5888,0.036
496,5.5695,5.5885,0.188
497,5.5725,5.6082,0.104
498,5.5725,5.5809,0.041
499,5.5825,5.5966,0.227
500,5.5825,5.5998,0.076
501,5.5825,5.6113,0.156
502,5.5825,5.5913,0.089
503,5.5835,5.6222,0.045
504,5.5875,5.6024,0.099
505,5.6025,5.6106,0.051
506,5.6035,5.6389,0.063
507,5.6045,5.6415,0.042
508,5.6075,5.6183,0.118
509,5.6085,5.6159,0.045
510,5.6105,5.6179,0.093
511,5.6135,5.645,0.069
512,5.6225,5.6499,0.07
513,5.6235,5.6373,0.037
514,5.6245,5.6399,0.046
515,5.6375,5.6626,0.28
516,5.6375,5.6537,0.09
517,5.6385,5.6506,0.183
518,5.6385,5.68,0.058
519,5.6385,5.6543,0.116
520,5.6395,5.6761,0.04
521,5.6445,5.6851,0.04
522,5.6505,5.6589,0.067
523,5.6555,5.6859,0.046
524,5.6575,5.6671,0.047
525,5.6605,5.6716,0.092
526,5.6615,5.6715,0.2
527,5.6625,5.6733,0.165
528,5.6755,5.685,0.187
529,5.6755,5.6968,0.046
530,5.6765,5.6887,0.119
531,5.6765,5.6866,0.115
532,5.6765,5.7138,0.132
533,5.6805,5.7196,0.04
534,5.6885,5.7273,0.092
535,5.6885,5.7044,0.075
536,5.6905,5.7036,0.06
537,5.6955,5.7058,0.062
538,5.7005,5.7101,0.044
539,5.7185,5.7268,0.041
540,5.7295,5.7372,0.054
541,5.7305,5.7382,0.087
542,5.8015,5.8076,0.037
543,5.8305,5.84,0.036
544,5.8755,5.9166,0.052
545,5.8755,5.8858,0.04
546,5.9105,5.947,0.103
547,5.9135,5.9241,0.359
548,5.9135,5.9573,0.057
549,5.9145,5.9252,0.147
550,5.9145,5.9394,0.273
551,5.9145,5.9269,0.229
552,5.9255,5.9358,0.055
553,5.9325,5.9469,0.149
554,5.9335,5.9454,0.133
555,5.9355,5.9466,0.144
556,5.9375,5.9496,0.089
557,5.9395,5.951,0.058
558,5.9415,5.9748,0.291
559,5.9415,5.9477,0.081
560,5.9435,5.9808,0.043
561,5.9495,5.9546,0.068
562,5.9525,5.9629,0.112
563,5.9535,5.9767,0.137
564,5.9555,5.9678,0.072
565,6.0305,6.0406,0.061
566,6.0325,6.0755,0.051
567,6.0395,6.0786,0.041
568,6.0405,6.0484,0.037
569,6.0515,6.0669,0.077
570,6.0745,6.082,0.043
571,6.0755,6.1197,0.048
572,6.1125,6.1207,0.044
573,6.1135,6.1191,0.086
574,6.1135,6.1505,0.048
575,6.1145,6.1525,0.052
576,6.1615,6.2006,0.036
577,6.1815,6.1863,0.041
578,6.1815,6.188,0.048
579,6.1955,6.2355,0.038
580,6.2095,6.2207,0.041
581,6.2545,6.2974,0.037
582,6.2825,6.2906,0.047
583,6.3085,6.3162,0.036
584,6.3185,6.3597,0.041
585,6.3355,6.342,0.072
586,6.3355,6.3713,0.051
587,6.3805,6.3879,0.071
588,6.4085,6.4509,0.05
589,6.4355,6.4534,0.044
590,6.4505,6.4912,0.038
591,6.4945,6.5066,0.068
592,6.4955,6.5088,0.091
593,6.4965,6.5303,0.044
594,6.5015,6.5349,0.04
595,6.5135,6.5205,0.038
596,6.5645,6.5752,0.08
597,6.5655,6.5723,0.045
598,6.5885,6.6263,0.041
599,6.6265,6.6415,0.041
600,6.6285,6.6709,0.069
